symbol	fitch	fitch.summit
Cftr	0	0
Chmp3	0.553264069	0.553264069
Chmp4c	0.2786636443	0.2786636443
Chpt1	0.3352838658	0.3352838658
Chrnb2	0.0872936727	0.0872936727
Cidea	0.2880872466	0.2880872466
Clasp1	0	0
Clk1	0.2705067809	0.2705067809
Cltb	0.0941286058	0.0941286058
Cnga2	0.0955087124	0.0955087124
Cnpy2	0	0
Cntn3	0.19850543275	0.3970108655
Cntnap5b	0	0
Col1a2	0.0937686775	0.0937686775
Col20a1	0.9618692582	0.9618692582
Col25a1	0.3050231916	0.4752357954
Col5a1	0.0602600564333333	0
Copb2	0	0
Corin	0	0
Cox4i1	0	0
Cox6b1	0	0
Cpn1	0.9686582028	0.9686582028
Cpne6	0.1957520628	0.1957520628
Cpne9	0.0893814961	0.0893814961
Creb3l1	0	0
Crispld1	0.1857375825	0.1857375825
Crtc3	0	0
Csmd3	0.1950964089	0.2065084867
Ctla4	0.1404678253	0.1404678253
Ctnnb1	0	0
Cyp26c1	0.548245614	0.548245614
Daam1	0	0
Dact1	0.9588559698	0.9588559698
Dbn1	0	0
Dcaf11	0.1465190517	0.1465190517
Ddx39a	0.0994070568	0.0994070568
Decr2	0	0
Dgat2l6	0	0
Dgcr8	0.4720052283	0.4720052283
Dgkd	0.0931350352	0.0931350352
Dgkk	0.706356027	0.706356027
Dhrs9	0	0
Dlec1	0.5256037347	0.5256037347
Dlx1	0	0
Dmxl2	0.379155976	0.379155976
Dnah7b	0	0
Dnaja2	0.1633137937	0.1633137937
Dnajc13	0.0897180431	0
Dnase1	0.2057744001	0.2057744001
Dnpep	0.1230331914	0.1230331914
Dock2	0.1375930419	0.1841946953
Dop1a	0	0
Dpp10	0.0925353064	0.0925353064
Dpp3	0.1866589788	0.1866589788
Dpyd	0.1442993947	0.1442993947
Dsc2	0.5585951513	0.4073512231
Dsc3	0.6503148608	0.6503148608
Duox2	0.2830637576	0.2830637576
Dusp6	0.1646308417	0.1646308417
Ecel1	0.0960607411	0.0960607411
Echdc3	0	0
Eea1	0	0
Eef2	0.3542583716	0.3542583716
Egflam	0.1812638605	0.1812638605
Egr3	0.3716956029	0.3716956029
Eif1	0.1005061591	0.1005061591
Eif2d	0.8879141565	0.8879141565
Elk4	0	0
Elp1	0.1119972709	0.1119972709
Enc1	0.083036209	0.083036209
Eno2	0	0
Enpep	0.0997460764	0.0997460764
Enpp5	0	0
Entpd4	0.2942562937	0
Ephb1	0.2497288985	0.2497288985
Epn3	0.0886224465	0.0886224465
Eps8	0.1009470244	0.1009470244
Erbb4	0.1662846692	0.1662846692
Ercc1	0	0
Ercc5	0	0
Ercc6	0.1762675798	0.1762675798
Erg	0	0
F13a1	0.6611978551	0.6611978551
Fabp2	0.1086790077	0.1086790077
Fadd	0.5434636897	0.5434636897
Fam124b	1.1864488918	1.1864488918
Fam160a1	0	0
Fam43a	0.10257799	0.10257799
Fat4	0.4523193443	0.4523193443
Fbn2	0.4238418151	0.5984689369
Fbxo8	0.053681539	0.107363078
Fbxw8	0.1315596289	0.1315596289
Fdft1	0.0843211059	0.0843211059
Fezf1	0	0
Fgf23	0	0
Fibin	0	0
Flcn	0.2049151774	0.2049151774
Fli1	0.143093042	0.143093042
Flt4	0.236964145366667	0.7108924361
Fmnl2	0.2177650792	0.2177650792
Foxp2	0.0830304176	0.0830304176
Fpgs	0.4018004679	0.4018004679
Frem2	0	0
Frmd4b	0	0
Frmd7	0.1789301035	0.1789301035
Frmpd1	0	0
Frmpd4	0.05509775445	0.1101955089
Fstl5	0.50359449145	0.9067386641
Fxr2	0.1886621055	0.1886621055
G6pc3	0	0
Gabrb1	0	0
Gabrb2	0.0865619498	0.0865619498
Gabrb3	0	0
Gabrr2	0	0
Gas8	0.2747918841	0.2747918841
Gata1	0.6324234657	0.6324234657
Gcm1	0.0910519514	0.0910519514
Gcn1	0.18216334825	0.3643266965
Get4	0.1788008045	0.1788008045
Gfra1	0.08306977115	0.0831047123
Gipc1	0.1101484382	0.1101484382
Gk2	0	0
Glra1	0	0
Gm11437	0.6483773816	0.6483773816
Gm20605	0.1044114135	0.1044114135
Gmps	0.2563523909	0.2563523909
Gnas	0.75347630445	0.6775754048
Gns	0.3705359794	0.3705359794
Got2	0	0
Gpa33	0.1900212615	0.1900212615
Gpam	0.26653588515	0.2404437148
Gpr173	0	0
Gpr182	0.8291820679	0.8291820679
Gpr68	0.0864333893	0.0864333893
Gpt	0.985791891	0.985791891
Grcc10	0	0
Grik1	0	0
Grin2b	0.66738772375	0.0848601009
Grin3a	0.587094013	0.587094013
Grm1	0.0930052171	0.0930052171
Grm3	0	0
Gucy2f	0.2068152234	0.2068152234
H1f4	0.2433431922	0.091469692
H3c10	0	0
H3c13	0	0
Hcar1	0	0
Hcfc1	0	0
Hdac1	0.0945687735	0.0945687735
Hdhd3	0.5658502579	0.5658502579
Hectd1	0.0877094194	0.0877094194
Hecw1	0.0816332928	0.0816332928
Hkdc1	0	0
Hmcn1	0.5659481452	0.5659481452
Hnf4a	0.1636288962	0.1636288962
Hnrnpf	0.2056003901	0.2056003901
Hnrnph2	0.1024764248	0.1024764248
Hook1	0.4257965429	0.4257965429
Hoxa9	0	0
Hpcal4	0.274241635	0.274241635
Hs3st2	0.1029547922	0.1029547922
Hs6st2	0.3901593616	0.3901593616
Hsf1	0.1039615267	0.1039615267
Hspa13	0	0
Hspg2	0.2122101475	0.2122101475
Hunk	0.1473894745	0.1473894745
Huwe1	0	0
Hyal4	1.1878649079	1.1878649079
Ifit1	2.1420026368	2.1420026368
Ift43	0.412803173	0.412803173
Igf2bp1	0	0
Igsf21	0	0
Igsf3	0.2353582458	0.2353582458
Ikzf1	0	0
Insyn2b	0.8207235992	0.8207235992
Invs	0	0
Ipo11	0	0
Ipp	0.5384366116	0.5384366116
Iqgap3	0	0
Iqsec2	0.2366474347	0.2366474347
Irf2	0	0
Isl1	0	0
Itgb6	0.1840333748	0.1840333748
Itln1	0.3046208856	0.3046208856
Jag2	0.1003812379	0.1003812379
Jak2	0.1809656854	0.1809656854
Jup	0	0
Katnb1	0	0
Kcnb1	0.1051151668	0.1051151668
Kcnd2	0	0
Kcnd3	0	0
Kcnh1	0.23180558	0
Kcnh7	0	0
Kcnt2	0	0
Keap1	0	0
Kif1a	0	0
Kif23	0	0
Kif5a	0.1934442204	0.2841644259
Kifbp	0.4156592472	0.4156592472
Klhdc3	0.2142334796	0.2142334796
Klhdc4	0	0
Klhdc8b	0.2682713586	0.2682713586
Klhl28	0.4770859438	0.4770859438
Klhl3	0	0
Krt17	0.884761731	0.884761731
Krt33a	0.0946163397	0.0946163397
Krt72	0	0
Krtap11-1	0.3062465413	0.3062465413
Lama2	0.1940539728	0.1940539728
Lama3	0.2088204069	0.2088204069
Lhfpl4	0	0
Lhfpl5	0	0
Lhx5	0	0
Lhx6	0.0905280091	0.0905280091
Lnpk	0.2842557828	0.2842557828
Lrfn5	0.09017261835	0
Lrp6	0.4798838451	0.4798838451
Lrrc61	0.1365030246	0.1365030246
Lsm3	0.1204851068	0.1204851068
Mab21l2	0	0
Maea	0.1782039466	0.1782039466
Magee2	0.3356132661	0.3356132661
Manba	0.2302096531	0.2302096531
Map2	0.1001042987	0.1001042987
Mark1	0	0
Mboat4	1.4098128614	1.4098128614
Mc3r	0.1850916967	0.1850916967
Mchr1	0	0
Med4	0	0
Megf8	0	0
Mettl7b	0	0
Mfsd6l	1.0242826692	1.0242826692
Mpp3	0	0
Mrc1	0.4567751401	0.4567751401
Mrps9	1.0359802144	1.0359802144
Msh2	0.4409682039	0.4409682039
Mtrfr	0	0
Mus81	0.902180107	0.902180107
Myh4	0	0
Myo1f	0.0879977571	0.0879977571
Myof	0.14775112445	0.2955022489
Myom2	0	0
Nap1l1	0	0
Nck2	0	0
Necap1	0	0
Nectin1	0.0992271889	0.0992271889
Nectin3	0.2167276231	0.2167276231
Nedd1	0.635867856	0.635867856
Nek2	0.0868018183	0.0868018183
Nelfe	0	0
Nfe2	0.2307143516	0.2692930277
Nfia	0	0
Nfya	0	0
Ngfr	0	0
Nkapl	2.3002207924	2.3002207924
Nova1	0	0
Npy4r	0.1985698996	0.1985698996
Nr2e3	0.1793198327	0.1793198327
Nrap	0	0
Nras	0	0
Nrip3	0.2599435896	0.2599435896
Nsd2	1.0394001518	1.0394001518
Ntn3	0.1050864247	0.1050864247
Ntn4	0.2814877604	0.2814877604
Ntrk3	0.2987500001	0.2987500001
Nup155	0.860058332	0.860058332
Nup160	0.6173622261	0.6173622261
Nxpe3	0.0913570561	0.0913570561
Nxph2	0.5242758505	0.5242758505
Ogg1	0.7553633869	0.7553633869
Olah	0.1359138111	0.1359138111
Olfr1022	0.1064735265	0.1064735265
Olfr11	0.9124978442	0.9124978442
Olfr1195	0.654232113	0.654232113
Olfr1393	0.2079116409	0.2079116409
Olfr177	0.4316187029	0.4316187029
Olfr237	0.851389894	0.851389894
Olfr350	0.2638063261	0.2638063261
Olfr521	1.2063611423	1.2063611423
Olfr554	0.6879499377	0.6879499377
Olfr589	0.6261690576	0.6261690576
Olfr671	0.5745649079	0.5745649079
Olfr685	0	0
Olfr729	0.1038983708	0.1038983708
Olfr74	0.6659081233	0.6659081233
Olfr802	0.6248217306	0.6248217306
Opa1	0.7956424256	0.7956424256
Osr2	0.0922051347	0.0922051347
Otp	0.0899302896	0.0899302896
Otx2	0.0948220612	0.0948220612
P2ry14	0.984359108	0.984359108
Pa2g4	0	0
Pak3	0.0868018258	0.0868018258
Papola	0	0
Pappa2	1.6589109125	1.6589109125
Parp14	0.8658131096	0.8658131096
Parp6	0.2658725939	0.2658725939
Patz1	0.1012831768	0.1012831768
Pcdh11x	0.323524118	0.323524118
Pcdh15	1.5306861239	1.5306861239
Pcdh7	0.13009597875	0.2601919575
Pcdhac1	1.0981621833	1.0981621833
Pcdhb12	0.715172309	0.715172309
Pcdhb3	0.5760920641	0.5760920641
Pcdhga1	0.9751669827	0.9751669827
Pcdhga3	0	0
Pcdhgb7	0	0
Pcgf5	0.0889200148	0.0889200148
Pck1	0.1869708258	0.1869708258
Pctp	0.2174595441	0.2174595441
Pcyt2	0.2472231586	0.2472231586
Pdlim3	0.2222866112	0.2222866112
Pdx1	0.1966804471	0.1966804471
Pdzrn3	0.1843019522	0.1843019522
Phex	0	0
Phf20l1	0.8247211824	0.8247211824
Pias2	0	0
Pkhd1	0.9541406604	0.9541406604
Plcb1	0.103191294	0.103191294
Plcb4	0.427139997	0.427139997
Plekhg6	0.1393707633	0.1393707633
Plpbp	0.082815975	0.082815975
Pnlip	0.1170859417	0.1170859417
Pole	0	0
Polr1a	0.8636276314	0.8636276314
Polr1c	0.2981117305	0.2981117305
Polr2b	0.1621013654	0.1621013654
Pomp	0	0
Pot1a	0	0
Ppfia2	0.04255766455	0
Ppfia3	0	0
Ppp2r3a	0.4963363922	0.4963363922
Prdx2	0	0
Prkag2	0	0
Prkcq	0	0
Prpf38a	0	0
Prpf8	0	0
Prps1l1	0.9084983204	0.9084983204
Ptbp2	0.0926105144	0.0926105144
Ptgds	1.7631043613	1.7631043613
Ptpdc1	0.0988668573	0.0988668573
Ptpn11	0.1766380307	0.1766380307
Ptpn2	0.3750507959	0.3750507959
Ptpn4	0	0
Pygl	0	0
Qars	0	0
Rab6a	0	0
Rab8a	0	0
Ralgps2	0	0
Ralyl	0	0
Ranbp2	0.3886799302	0.3886799302
Rasgrp1	0.4504172271	0.4504172271
Rbbp9	0.1305657912	0.1305657912
Rbfox3	0.095499719	0.095499719
Rbl1	0	0
Rbm10	0	0
Rbm41	0.1207596166	0.1207596166
Rbm46	0.5243421106	0.5243421106
Rc3h2	0	0
Rcvrn	0.1933130877	0.1933130877
Rfx2	0.5318225036	0.5318225036
Rhob	0	0
Ripk2	0.0871084464	0.0871084464
Rnf145	0	0
Rnf165	0.2646397847	0.2646397847
Rnf17	1.3111670348	1.3111670348
Rock1	0	0
Ror1	0	0
Rpp38	0.9948794797	0.9948794797
Rps6ka4	0.2439976279	0.2439976279
Rragb	0	0
Rsf1	1.4944014119	1.4944014119
Rtel1	0.10691835535	0
Rtl6	0	0
Rtp1	0	0
Rufy4	1.5822400933	1.5822400933
Runx1	0.3466073853	0.3466073853
Ryr2	0.28901027605	0.3745316949
Sacm1l	0.2739631204	0.2739631204
Samd5	0.2168606793	0.2168606793
Scara3	0.8356820351	0.8356820351
Scin	0.1851290808	0.1851290808
Scrn2	0	0
Scube3	0	0
Sds	0.1202551381	0.1202551381
Sec24d	0.2753582457	0.2753582457
Sema3d	0	0
Sema3e	0	0
Septin6	0.0963512922	0.0963512922
Serac1	0.5138376479	0.5138376479
Serpina12	0.3511790838	0.3511790838
Serpinb12	0.7885229804	0.7885229804
Setdb1	0.1268504307	0.1268504307
Sf3b1	0.0427963146	0
Sgsm2	0	0
Sh3bp1	0.5462861419	0.5462861419
Shank2	0	0
Shisa9	0.4842049325	0.4842049325
Sipa1l2	0	0
Six4	0.5078562828	0.5078562828
Ski	0.1117798652	0.1117798652
Skiv2l	0.1015625087	0.1015625087
Slc10a2	0.0427467451	0.0854934902
Slc12a7	0	0
Slc16a7	0	0
Slc1a3	0.6324054109	0.6324054109
Slc1a5	0.5864469185	0.5864469185
Slc20a2	0	0
Slc22a17	0.1210676178	0.1210676178
Slc6a7	0.2262911636	0.2262911636
Slc8a2	0.0994036477	0.0994036477
Slit1	0.0871204901	0.0871204901
Slit2	0	0
Slitrk1	0.1922586294	0.1922586294
Smap2	0	0
Smc3	0	0
Sncaip	0.0941410649	0.0941410649
Snrnp200	0.4391434174	0.4391434174
Snw1	0.0815008678	0.0815008678
Snx20	0.7227669978	0.7227669978
Sorcs1	0	0
Spaca7	1.361452779	1.361452779
Sparcl1	0.7790512496	0.7790512496
Spef2	0.90482801875	0.1771223464
Spns2	0.3853768745	0.3853768745
Sppl3	0	0
Spring1	0.3203362591	0.3203362591
Sprr4	0	0
Sptb	0.2755992676	0.2755992676
Sptbn2	0	0
Srbd1	0.1393589155	0.1393589155
Ssh1	1.5494667252	1.5494667252
Sstr1	0.3440684999	0.3440684999
St8sia6	0	0
Stard13	0.1171731554	0.1171731554
Stau2	0.7228932335	0.7228932335
Steap2	0.0953810669	0.0953810669
Stk4	0.0894730885	0.0894730885
Stmn2	0	0
Sulf1	0.0852725592	0.0852725592
Supt16	0.0878272179	0.0878272179
Syt4	0.0822535363	0.0822535363
Syt7	0	0
Taar5	0.2510702917	0.2510702917
Tab3	0.1590914225	0.1590914225
Tafa5	0	0
Taok1	0.0869401921	0.1738803842
Taok3	0.0847882718	0.0847882718
Tasl	0.5822798274	0.5822798274
Tbcb	0.353513619	0.353513619
Tec	0	0
Tecta	0.0894411742	0.0894411742
Tenm2	0	0
Tenm3	0.232677499666667	0.0878050699
Tgfbr2	0.3534794529	0.3534794529
Tgm6	0.2376020893	0.4752041786
Thra	0	0
Tiam1	0.6629077273	1.3258154546
Tll1	0.4812727547	0.4812727547
Tlr9	0.6802356842	0.6802356842
Tmem161a	0.6350419985	0.6350419985
Tmem169	0.540649138	0.540649138
Tmem177	0	0
Tmem74	0.08167010795	0.1633402159
Tmem94	0	0
Tmtc2	0.3640487647	0.3640487647
Tnfrsf21	0.2632992217	0.2632992217
Tnr	0.1241405748	0.2482811496
Tns3	0.0944708658	0.0944708658
Tom1	0.3472694091	0.3472694091
Tpm2	0.0892507232	0.0892507232
Trim42	0.3694464123	0.3694464123
Trim9	0.1079887251	0.1079887251
Trip13	0.0840012553	0.0840012553
Trpm8	0.1224085048	0.1224085048
Trpv4	0	0
Tshz3	0.6551402922	0.6551402922
Ttc4	0.399392843	0.399392843
Tuba8	0	0
Tubb2b	0.0889949234	0.0889949234
Tulp4	0.0458597539	0.0458597539
Tyrp1	0.0925540969	0.0925540969
Ube2e3	0	0
Ubl3	0	0
Ubl7	0.1008328694	0.1008328694
Ubr5	0	0
Ugp2	0.0832082159	0.0832082159
Unc5b	0.0859811885	0.0859811885
Unk	0.0868639474	0.0868639474
Upk3a	0.3122987625	0.3122987625
Urb1	0	0
Usp38	0.082164698	0.082164698
Utp11	0	0
Vav3	0	0
Vps35	0.2148871589	0
Vps37b	0.0940552829	0.0940552829
Vwc2l	0	0
Vwf	0.05002870645	0.1000574129
Wasf2	0.5386664182	0.5386664182
Washc3	1.6508781571	1.6508781571
Wdfy3	0.2843021704	0.2843021704
Wdr45	0	0
Wdr59	0.0837580144	0.0837580144
Wdr7	0.0849225744	0.0849225744
Wnt4	0.2028304379	0.2028304379
Xpc	0.734709119	0.734709119
Xpo7	0	0
Ypel4	0.4192944197	0.4192944197
Ywhaq	0.0860553797	0.0860553797
Zbtb20	0.0814453553	0.0814453553
Zc3h15	0.4254537038	0.4254537038
Zcchc17	0	0
Zfp330	0	0
Zfp639	0.2160237099	0.2160237099
Zfp688	0.2079293439	0.2079293439
Zfp703	0.3847139306	0.3847139306
Zfpm2	0.166412887	0.166412887
Zmiz2	0.0940506299	0.0940506299
Zmynd10	0.4817948516	0.4817948516
