symbol	syn.obs	missense.obs	nonsense.obs	fs.obs	inframe.obs	max.missense	max.nonsense	max.prot	cds.id	length
Astn1	1	1	0	0	0	NA	NA	NA	ENSMUST00000046110	11655
Asxl3	0	2	0	0	0	NA	NA	NA	ENSMUST00000239326	20349
Atm	0	0	0	2	0	NA	NA	NA	ENSMUST00000132249	1812
Atp10b	0	1	0	0	0	NA	NA	NA	ENSMUST00000077659	13275
Atp1a2	0	1	0	0	0	NA	NA	NA	ENSMUST00000097464	8532
Atp1a3	0	1	0	0	0	NA	NA	NA	ENSMUST00000102858	9486
Atp2a2	0	1	0	0	0	NA	NA	NA	ENSMUST00000179939	9405
Atp2c2	0	1	0	0	0	NA	NA	NA	ENSMUST00000095171	8505
Atp6v0a1	0	1	0	0	0	NA	NA	NA	ENSMUST00000044721	7551
Atp6v0a2	0	0	0	1	0	NA	NA	NA	ENSMUST00000198382	1647
Atp6v1a	0	1	0	0	0	NA	NA	NA	ENSMUST00000063661	5562
Atp7b	0	0	0	1	0	NA	NA	NA	ENSMUST00000006742	13167
Atp8a1	0	1	0	0	0	NA	NA	NA	ENSMUST00000072971	10485
Atxn7l3b	0	0	0	1	0	NA	NA	NA	ENSMUST00000099276	882
Avpr1a	0	2	0	0	0	NA	NA	NA	ENSMUST00000020323	3816
BC024978	0	0	0	1	0	NA	NA	NA	ENSMUST00000108379	3033
Bcat1	0	1	0	0	0	NA	NA	NA	ENSMUST00000111742	3483
Bcl2l1	0	1	0	0	0	NA	NA	NA	ENSMUST00000109820	2106
Bcor	0	0	1	0	0	NA	NA	NA	ENSMUST00000115513	15840
Bfar	0	1	0	0	0	NA	NA	NA	ENSMUST00000023365	4059
Bhlhb9	0	0	0	1	0	NA	NA	NA	ENSMUST00000180025	4860
Bicd1	0	1	0	0	0	NA	NA	NA	ENSMUST00000173408	7452
Bop1	0	0	0	0	1	NA	NA	NA	ENSMUST00000023217	6597
Bpifb4	0	1	0	0	0	NA	NA	NA	ENSMUST00000109759	5562
Brf2	1	0	1	0	0	NA	NA	NA	ENSMUST00000033877	3789
Brinp1	0	1	0	0	0	NA	NA	NA	ENSMUST00000030036	6849
Brinp2	1	0	0	0	0	NA	NA	NA	ENSMUST00000195271	1692
Btbd16	0	1	0	0	0	NA	NA	NA	ENSMUST00000208593	4563
C1qtnf1	1	0	0	0	0	NA	NA	NA	ENSMUST00000106286	2538
C2cd5	0	1	0	0	0	NA	NA	NA	ENSMUST00000204655	9000
Cabin1	0	1	0	0	0	NA	NA	NA	ENSMUST00000001712	19692
Cacna1c	0	1	0	0	0	NA	NA	NA	ENSMUST00000187317	19692
Cacng3	1	0	0	0	0	NA	NA	NA	ENSMUST00000182095	1674
Cadps2	0	0	0	1	0	NA	NA	NA	ENSMUST00000069074	11682
Calb2	0	1	0	0	0	NA	NA	NA	ENSMUST00000212297	2187
Capn2	0	1	0	0	0	NA	NA	NA	ENSMUST00000068505	6309
Caprin1	0	0	0	1	0	NA	NA	NA	ENSMUST00000028607	6372
Card11	0	1	0	0	0	NA	NA	NA	ENSMUST00000085786	10395
Card6	0	0	0	1	0	NA	NA	NA	ENSMUST00000118365	10584
Carmil3	0	1	0	0	0	NA	NA	NA	ENSMUST00000076236	12384
Cass4	0	1	0	0	0	NA	NA	NA	ENSMUST00000228775	7029
Catsperd	1	0	0	0	0	NA	NA	NA	ENSMUST00000233947	4554
Cbx5	0	0	0	1	0	NA	NA	NA	ENSMUST00000122182	1728
Ccdc22	1	0	0	0	0	NA	NA	NA	ENSMUST00000033483	5652
Ccdc39	1	0	0	0	0	NA	NA	NA	ENSMUST00000029222	8442
Ccdc54	0	2	0	0	0	NA	NA	NA	ENSMUST00000062439	2970
Ccin	0	1	0	0	0	NA	NA	NA	ENSMUST00000095107	5301
Ccp110	0	0	0	1	0	NA	NA	NA	ENSMUST00000106557	9045
Ccr4	0	1	0	0	0	NA	NA	NA	ENSMUST00000215425	3249
Cct3	1	0	0	0	0	NA	NA	NA	ENSMUST00000168062	4698
Cd248	0	1	0	0	0	NA	NA	NA	ENSMUST00000070630	6894
Cd63	0	1	0	0	0	NA	NA	NA	ENSMUST00000219317	2151
Cdc37	0	1	0	0	0	NA	NA	NA	ENSMUST00000215296	3177
Cdc37l1	1	0	0	0	0	NA	NA	NA	ENSMUST00000050148	3024
Cdc42bpb	0	1	0	0	0	NA	NA	NA	ENSMUST00000041965	15426
Cdc73	0	2	0	0	0	NA	NA	NA	ENSMUST00000018337	4788
Cdcp1	0	2	0	0	0	NA	NA	NA	ENSMUST00000039229	7506
Cdh1	0	0	0	1	0	NA	NA	NA	ENSMUST00000167688	7965
Cdh12	0	1	0	0	0	NA	NA	NA	ENSMUST00000227496	7155
Cdh13	1	0	0	0	0	NA	NA	NA	ENSMUST00000117160	6435
Cdh4	0	2	0	0	0	NA	NA	NA	ENSMUST00000108911	3015
Cdh5	0	1	0	0	0	NA	NA	NA	ENSMUST00000034339	7065
Cdh8	1	0	0	0	0	NA	NA	NA	ENSMUST00000128860	7200
Cdk13	0	1	0	0	0	NA	NA	NA	ENSMUST00000042365	13608
Cdkn2aipnl	0	1	0	0	0	NA	NA	NA	ENSMUST00000102763	1053
Ceacam20	0	0	1	0	0	NA	NA	NA	ENSMUST00000094753	5202
Cebpb	0	0	0	1	0	NA	NA	NA	ENSMUST00000070642	2673
Celf1	0	1	0	0	0	NA	NA	NA	ENSMUST00000068726	4392
Cemip2	0	2	0	0	0	NA	NA	NA	ENSMUST00000025663	12456
Cenpq	0	0	1	0	0	NA	NA	NA	ENSMUST00000087114	2412
Cep43	0	1	0	0	0	NA	NA	NA	ENSMUST00000097419	3600
Cfap52	1	1	0	0	0	NA	NA	NA	ENSMUST00000021287	5589
Cftr	0	1	0	0	0	NA	NA	NA	ENSMUST00000115405	5409
Chchd4	0	0	0	1	0	NA	NA	NA	ENSMUST00000040835	1260
Chd8	0	0	0	1	0	NA	NA	NA	ENSMUST00000089752	23247
Chmp2b	1	0	0	0	0	NA	NA	NA	ENSMUST00000004965	1926
Chmp3	0	1	0	0	0	NA	NA	NA	ENSMUST00000059462	2025
Chmp4c	0	1	0	1	0	NA	NA	NA	ENSMUST00000029049	2097
Chpt1	0	1	0	0	0	NA	NA	NA	ENSMUST00000117579	2097
Chrnb2	0	1	0	0	0	NA	NA	NA	ENSMUST00000029562	4518
Cidea	0	1	0	0	0	NA	NA	NA	ENSMUST00000025404	1962
Clasp1	0	1	0	0	0	NA	NA	NA	ENSMUST00000049404	13833
Cldn1	1	0	0	0	0	NA	NA	NA	ENSMUST00000023154	1908
Clk1	0	1	0	0	0	NA	NA	NA	ENSMUST00000151338	1224
Cltb	0	1	0	0	0	NA	NA	NA	ENSMUST00000049575	2070
Cmbl	0	0	0	1	0	NA	NA	NA	ENSMUST00000162532	1566
Cnga2	0	1	0	0	0	NA	NA	NA	ENSMUST00000006020	5985
Cnpy2	0	1	0	0	0	NA	NA	NA	ENSMUST00000219037	1647
Cntn3	0	2	0	0	0	NA	NA	NA	ENSMUST00000203619	9261
Cntnap5b	0	2	0	0	0	NA	NA	NA	ENSMUST00000086738	11637
Cobl	1	0	0	0	0	NA	NA	NA	ENSMUST00000109650	11304
Col11a2	0	0	1	0	0	NA	NA	NA	ENSMUST00000087497	14859
Col1a2	0	1	0	0	0	NA	NA	NA	ENSMUST00000031668	12357
Col20a1	0	1	0	0	0	NA	NA	NA	ENSMUST00000228434	11889
Col25a1	0	2	0	0	0	NA	NA	NA	ENSMUST00000080335	6003
Col27a1	1	0	0	0	0	NA	NA	NA	ENSMUST00000036300	16614
Col5a1	0	3	0	0	0	4.99999659626712	-4.99912526495962	NA	ENSMUST00000028280	16551
Col7a1	0	0	0	1	0	NA	NA	NA	ENSMUST00000026740	26505
Copb2	0	1	0	0	0	NA	NA	NA	ENSMUST00000035033	8154
Cops9	0	0	0	1	0	NA	NA	NA	ENSMUST00000097642	522
Corin	0	1	0	0	0	NA	NA	NA	ENSMUST00000167460	9432
Coro1c	0	0	0	1	0	NA	NA	NA	ENSMUST00000164980	1440
Cox4i1	0	1	0	0	0	NA	NA	NA	ENSMUST00000181586	1530
Cox6b1	0	1	0	0	0	NA	NA	NA	ENSMUST00000075738	783
Cpa1	1	0	0	0	0	NA	NA	NA	ENSMUST00000031806	3780
Cpn1	0	1	0	0	0	NA	NA	NA	ENSMUST00000026210	4122
Cpne6	0	1	0	0	0	NA	NA	NA	ENSMUST00000165262	5013
Cpne9	0	1	0	0	0	NA	NA	NA	ENSMUST00000041203	4986
Cps1	1	0	0	0	0	NA	NA	NA	ENSMUST00000027144	13509
Cpxm2	0	0	0	1	0	NA	NA	NA	ENSMUST00000033149	6885
Cracd	0	1	0	0	0	NA	NA	NA	ENSMUST00000163347	11601
Creb3l1	0	1	0	0	0	NA	NA	NA	ENSMUST00000028663	4689
Crispld1	0	1	0	0	0	NA	NA	NA	ENSMUST00000159958	4509
Crtc3	0	1	0	0	0	NA	NA	NA	ENSMUST00000122255	5580
Csmd1	0	0	1	0	0	NA	NA	NA	ENSMUST00000082104	32085
Csmd3	1	2	0	0	0	-0.765185630483141	-4.99999707536756	NA	ENSMUST00000162830	33372
Ctla4	0	1	0	0	0	NA	NA	NA	ENSMUST00000027164	2016
Ctnnb1	0	8	0	1	2	4.99999940015325	-1.38811888574052	NA	ENSMUST00000145093	1566
Cwc27	0	0	0	1	0	NA	NA	NA	ENSMUST00000154165	750
Cxcr4	0	0	0	1	0	NA	NA	NA	ENSMUST00000142893	2454
Cyp26c1	0	1	0	0	0	NA	NA	NA	ENSMUST00000073391	4671
Cyp2c69	1	0	0	0	0	NA	NA	NA	ENSMUST00000168838	4428
Cyp2u1	0	0	0	1	0	NA	NA	NA	ENSMUST00000200236	4518
D630045J12Rik	0	0	0	1	0	NA	NA	NA	ENSMUST00000117556	16200
Daam1	0	1	0	0	0	NA	NA	NA	ENSMUST00000085299	9702
Dab2	0	0	0	1	0	NA	NA	NA	ENSMUST00000161040	2124
Dact1	0	1	0	0	0	NA	NA	NA	ENSMUST00000150639	7344
Dbf4	0	0	0	1	0	NA	NA	NA	ENSMUST00000171808	5976
Dbn1	0	1	0	0	0	NA	NA	NA	ENSMUST00000109921	5958
Dcaf11	0	1	0	0	0	NA	NA	NA	ENSMUST00000143375	1278
Ddb2	0	0	0	1	0	NA	NA	NA	ENSMUST00000111352	2673
Ddx39a	0	1	0	0	0	NA	NA	NA	ENSMUST00000109810	3852
Ddx47	0	0	0	1	0	NA	NA	NA	ENSMUST00000032326	4104
Ddx5	0	0	0	1	0	NA	NA	NA	ENSMUST00000127481	648
Decr2	0	1	0	0	0	NA	NA	NA	ENSMUST00000236268	2322
Deup1	0	0	1	0	0	NA	NA	NA	ENSMUST00000045513	5418
Dgat2l6	0	1	0	0	0	NA	NA	NA	ENSMUST00000037541	3042
Dgcr8	0	1	0	0	0	NA	NA	NA	ENSMUST00000009321	6966
Dgkd	0	1	0	0	0	NA	NA	NA	ENSMUST00000027517	10989
Dgkk	0	1	0	0	0	NA	NA	NA	ENSMUST00000145302	12159
Dhrs9	0	1	0	0	0	NA	NA	NA	ENSMUST00000063690	2880
Dicer1	0	0	0	1	0	NA	NA	NA	ENSMUST00000041987	17253
Dio3	0	1	0	0	0	NA	NA	NA	ENSMUST00000173014	2745
Dlec1	0	1	0	0	0	NA	NA	NA	ENSMUST00000140326	15678
Dlx1	0	1	0	0	0	NA	NA	NA	ENSMUST00000037119	2304
Dmxl2	0	1	0	0	0	NA	NA	NA	ENSMUST00000118600	27297
Dnah17	0	0	0	1	0	NA	NA	NA	ENSMUST00000106308	40338
Dnah3	0	0	0	1	0	NA	NA	NA	ENSMUST00000208701	8811
Dnah7b	0	1	0	0	0	NA	NA	NA	ENSMUST00000238212	36225
Dnaja2	0	1	0	0	0	NA	NA	NA	ENSMUST00000034138	3717
Dnajb2	0	1	0	0	0	NA	NA	NA	ENSMUST00000188931	2925
Dnajc13	0	2	0	0	0	NA	NA	NA	ENSMUST00000035170	20196
Dnajc9	0	0	0	1	0	NA	NA	NA	ENSMUST00000022345	2340
Dnase1	0	1	0	0	0	NA	NA	NA	ENSMUST00000137748	2028
Dnpep	0	1	0	0	0	NA	NA	NA	ENSMUST00000185797	4284
Dock2	0	2	0	0	0	NA	NA	NA	ENSMUST00000143540	6597
Dock9	0	0	0	1	0	NA	NA	NA	ENSMUST00000040700	19026
Dop1a	0	1	0	0	0	NA	NA	NA	ENSMUST00000190957	22167
Dpp10	0	1	0	0	0	NA	NA	NA	ENSMUST00000239072	7173
Dpp3	0	1	0	0	0	NA	NA	NA	ENSMUST00000025851	6651
Dpyd	0	1	0	1	0	NA	NA	NA	ENSMUST00000039177	9234
Dsc2	0	2	1	0	0	3.68332829871946	4.99999962802403	NA	ENSMUST00000075214	8127
Dsc3	0	1	0	0	0	NA	NA	NA	ENSMUST00000225110	8073
Dtl	0	0	1	0	0	NA	NA	NA	ENSMUST00000027933	6570
Duox2	0	1	0	0	0	NA	NA	NA	ENSMUST00000053734	13662
Dusp6	0	1	0	0	0	NA	NA	NA	ENSMUST00000020118	3438
Dyrk2	1	0	0	0	0	NA	NA	NA	ENSMUST00000004281	5400
E130308A19Rik	1	0	0	0	0	NA	NA	NA	ENSMUST00000070150	6453
Ebf2	1	0	0	0	0	NA	NA	NA	ENSMUST00000176161	5184
Ece1	0	0	0	1	0	NA	NA	NA	ENSMUST00000102518	6786
Ecel1	0	1	0	0	0	NA	NA	NA	ENSMUST00000027463	6984
Echdc3	1	1	0	0	0	NA	NA	NA	ENSMUST00000042658	2709
Eea1	0	1	0	0	0	NA	NA	NA	ENSMUST00000218517	1188
Eef2	0	1	0	0	0	NA	NA	NA	ENSMUST00000047864	7731
Egflam	0	1	0	0	0	NA	NA	NA	ENSMUST00000096494	9162
Egr3	0	1	0	0	0	NA	NA	NA	ENSMUST00000225200	3492
Ehd3	1	0	0	0	0	NA	NA	NA	ENSMUST00000024860	4824
Eif1	0	1	0	0	0	NA	NA	NA	ENSMUST00000049385	1026
Eif2d	0	1	0	0	0	NA	NA	NA	ENSMUST00000112446	4977
Elk4	0	1	0	0	0	NA	NA	NA	ENSMUST00000027696	3879
Elp1	0	1	1	0	0	NA	NA	NA	ENSMUST00000030140	12006
Eml6	0	0	0	1	0	NA	NA	NA	ENSMUST00000137689	756
Enc1	0	1	0	0	0	NA	NA	NA	ENSMUST00000041623	5310
Eno2	0	1	0	0	0	NA	NA	NA	ENSMUST00000156033	522
Enpep	0	1	0	0	0	NA	NA	NA	ENSMUST00000170918	4518
Enpp5	0	1	0	0	0	NA	NA	NA	ENSMUST00000024756	4302
Entpd4	0	2	0	0	0	NA	NA	NA	ENSMUST00000184973	5526
Epb41l5	0	0	0	1	0	NA	NA	NA	ENSMUST00000163147	6660
Ephb1	0	1	0	0	0	NA	NA	NA	ENSMUST00000035129	8865
Epn3	0	1	0	0	0	NA	NA	NA	ENSMUST00000127305	5733
Eps8	0	1	0	0	0	NA	NA	NA	ENSMUST00000111878	7398
Erbb4	0	1	0	0	0	NA	NA	NA	ENSMUST00000119142	11781
Ercc1	0	1	0	0	0	NA	NA	NA	ENSMUST00000003645	2691
Ercc5	0	1	0	0	0	NA	NA	NA	ENSMUST00000027214	10539
Ercc6	0	1	0	0	0	NA	NA	NA	ENSMUST00000066807	13338
Erg	0	1	0	0	0	NA	NA	NA	ENSMUST00000113848	4176
Eri2	1	0	0	0	0	NA	NA	NA	ENSMUST00000150844	6201
Evi5l	0	0	0	1	0	NA	NA	NA	ENSMUST00000177053	3663
Exoc1	1	0	0	0	0	NA	NA	NA	ENSMUST00000113493	8118
Exoc4	1	0	0	0	0	NA	NA	NA	ENSMUST00000052266	8784
Exph5	0	0	0	2	0	NA	NA	NA	ENSMUST00000051014	17649
F13a1	0	1	0	0	0	NA	NA	NA	ENSMUST00000037491	6597
Fabp2	0	1	0	0	0	NA	NA	NA	ENSMUST00000023820	1197
Fadd	0	1	0	0	0	NA	NA	NA	ENSMUST00000033394	1854
Fam124b	0	1	0	0	0	NA	NA	NA	ENSMUST00000058748	4113
Fam160a1	0	1	0	0	0	NA	NA	NA	ENSMUST00000094148	9738
Fam219b	1	0	0	0	0	NA	NA	NA	ENSMUST00000114200	1782
Fam43a	0	1	0	0	0	NA	NA	NA	ENSMUST00000059078	3825
Fam98a	1	0	0	0	0	NA	NA	NA	ENSMUST00000234785	2781
Fat4	0	1	0	1	0	NA	NA	NA	ENSMUST00000061260	44838
Fbn2	0	2	0	0	0	NA	NA	NA	ENSMUST00000025497	26172
Fbxo42	1	0	0	1	0	NA	NA	NA	ENSMUST00000030757	6462
Fbxo5	0	0	0	1	0	NA	NA	NA	ENSMUST00000019907	3798
Fbxo8	0	2	0	0	0	NA	NA	NA	ENSMUST00000040218	2880
Fbxw4	0	0	0	1	0	NA	NA	NA	ENSMUST00000160438	708
Fbxw8	0	1	0	0	0	NA	NA	NA	ENSMUST00000049474	5391
Fdft1	0	1	0	0	0	NA	NA	NA	ENSMUST00000224625	3753
Ferd3l	0	0	1	0	0	NA	NA	NA	ENSMUST00000061035	1521
Fezf1	0	1	0	0	0	NA	NA	NA	ENSMUST00000031709	4284
Fgf23	0	1	0	0	0	NA	NA	NA	ENSMUST00000000186	2268
Fhad1	0	0	0	1	0	NA	NA	NA	ENSMUST00000105779	12789
Fibin	0	1	0	0	0	NA	NA	NA	ENSMUST00000099626	1962
Flcn	0	1	0	0	0	NA	NA	NA	ENSMUST00000102697	5220
Fli1	0	1	0	0	0	NA	NA	NA	ENSMUST00000016231	4077
Flnb	1	0	0	0	0	NA	NA	NA	ENSMUST00000052678	23427
Flrt2	1	0	0	0	0	NA	NA	NA	ENSMUST00000057324	5949
Flt4	0	3	0	0	0	4.99999996007339	-4.99890204440884	NA	ENSMUST00000020617	12276
Fmnl2	0	1	0	0	0	NA	NA	NA	ENSMUST00000049483	9756
Fnip1	0	0	0	1	0	NA	NA	NA	ENSMUST00000143650	5682
Foxo4	0	0	0	1	0	NA	NA	NA	ENSMUST00000062000	4554
Foxp2	0	1	0	0	0	NA	NA	NA	ENSMUST00000031545	6435
Foxs1	0	0	0	2	0	NA	NA	NA	ENSMUST00000099200	2970
Fpgs	0	1	0	0	0	NA	NA	NA	ENSMUST00000028148	5292
Frem2	0	1	0	0	0	NA	NA	NA	ENSMUST00000091137	28449
Frmd4b	0	1	0	0	0	NA	NA	NA	ENSMUST00000032146	9324
Frmd7	0	1	0	0	0	NA	NA	NA	ENSMUST00000060650	6336
Frmpd1	0	1	0	0	0	NA	NA	NA	ENSMUST00000107804	13950
Frmpd4	0	2	0	0	0	NA	NA	NA	ENSMUST00000112149	11889
Fstl5	0	2	0	0	0	NA	NA	NA	ENSMUST00000160261	7632
Fubp3	0	0	0	1	0	NA	NA	NA	ENSMUST00000130578	477
Fxr1	0	0	0	1	0	NA	NA	NA	ENSMUST00000001620	6102
Fxr2	0	1	0	0	0	NA	NA	NA	ENSMUST00000018909	6075
G6pc3	0	1	0	0	0	NA	NA	NA	ENSMUST00000070334	3123
Gabrb1	0	1	0	0	0	NA	NA	NA	ENSMUST00000031122	4275
Gabrb2	0	1	0	0	0	NA	NA	NA	ENSMUST00000192403	4617
Gabrb3	0	1	0	0	0	NA	NA	NA	ENSMUST00000039697	4266
Gabrr2	0	1	0	0	0	NA	NA	NA	ENSMUST00000108162	4194
Gadd45g	0	0	1	0	0	NA	NA	NA	ENSMUST00000021903	1440
Gal3st3	1	0	0	0	0	NA	NA	NA	ENSMUST00000061169	3888
Gas8	0	1	1	0	0	NA	NA	NA	ENSMUST00000212923	4230
Gata1	0	1	0	0	0	NA	NA	NA	ENSMUST00000125418	987
Gatad2b	0	0	1	0	0	NA	NA	NA	ENSMUST00000199607	5355
Gbe1	1	0	0	0	0	NA	NA	NA	ENSMUST00000170464	6327
Gbp2b	0	0	0	1	0	NA	NA	NA	ENSMUST00000029936	5310
Gcat	0	0	0	1	0	NA	NA	NA	ENSMUST00000171999	3447
Gcm1	0	1	0	0	0	NA	NA	NA	ENSMUST00000024104	3933
Gcn1	0	2	0	0	1	4.99999983556955	-4.99999978432048	NA	ENSMUST00000064454	24048
Get4	0	1	0	0	0	NA	NA	NA	ENSMUST00000026976	2952
Gfra1	0	2	0	0	0	NA	NA	NA	ENSMUST00000169850	4221
Gipc1	0	1	0	0	0	NA	NA	NA	ENSMUST00000019577	3006
Gk2	0	1	0	0	0	NA	NA	NA	ENSMUST00000059657	4995
Glra1	0	1	0	1	0	NA	NA	NA	ENSMUST00000075603	4122
Gm11437	0	1	0	0	0	NA	NA	NA	ENSMUST00000050771	2619
Gm19668	0	1	0	0	0	NA	NA	NA	ENSMUST00000178581	2241
Gm20605	0	1	0	0	0	NA	NA	NA	ENSMUST00000177545	6129
Gm49425	1	0	0	0	0	NA	NA	NA	ENSMUST00000230067	4572
Gmps	0	1	0	0	0	NA	NA	NA	ENSMUST00000029405	6246
Gnas	1	2	0	0	0	-0.505636098797111	-4.99998986595922	NA	ENSMUST00000109087	3555
Gnb1	1	0	0	0	0	NA	NA	NA	ENSMUST00000105616	3069
Gns	0	1	0	0	0	NA	NA	NA	ENSMUST00000219249	828
Golga2	0	0	0	1	0	NA	NA	NA	ENSMUST00000139494	1806
Got2	0	1	0	0	0	NA	NA	NA	ENSMUST00000034097	3879
Gpa33	0	1	0	0	0	NA	NA	NA	ENSMUST00000166860	2880
Gpam	0	2	0	0	0	NA	NA	NA	ENSMUST00000061856	7452
Gpatch1	1	0	0	0	0	NA	NA	NA	ENSMUST00000079693	8379
Gpatch8	0	0	0	0	1	NA	NA	NA	ENSMUST00000143842	13554
Gpc3	0	0	0	0	1	NA	NA	NA	ENSMUST00000069360	5220
Gpc4	1	0	0	0	0	NA	NA	NA	ENSMUST00000033450	5022
Gpnmb	1	0	0	0	0	NA	NA	NA	ENSMUST00000031840	5175
Gpr173	0	1	0	0	0	NA	NA	NA	ENSMUST00000070316	3366
Gpr182	0	1	0	0	0	NA	NA	NA	ENSMUST00000079692	3591
Gpr62	0	0	0	2	0	NA	NA	NA	ENSMUST00000164834	3231
Gpr68	0	1	0	0	0	NA	NA	NA	ENSMUST00000053668	3294
Gpr85	1	0	0	0	0	NA	NA	NA	ENSMUST00000115492	3339
Gpt	0	1	0	0	0	NA	NA	NA	ENSMUST00000231028	2100
Grcc10	0	1	0	0	0	NA	NA	NA	ENSMUST00000004389	1143
Grik1	0	1	0	0	0	NA	NA	NA	ENSMUST00000211444	8136
Grik5	1	0	0	0	0	NA	NA	NA	ENSMUST00000003468	8820
Grin2b	0	2	0	0	0	NA	NA	NA	ENSMUST00000111905	13347
